식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
"김류_방사무늬김_양식,전체_생것_대표_2월",16,3.61,3.78,0.27,93
김류_참김_전체_구운것_대표_평균,193,41.70,43.30,0.90,491
김류_참김_전체_말린것_대표_평균,165,40.30,38.60,1.70,
김류_참김_전체_생것_대표_평균,12,2.00,3.30,0.40,
곶감_말린것,219,58.93,1.76,0.07,1
구아바_생것,33,9.9,0.6,0.1,3
귤_한라봉_생것,50,12.8,0.99,0.11,1
귤_온주밀감_생것,39,10.04,0.53,0.1,2
귤_임온주_생것,43,10.8,1,0.1,15
귤_천혜향_생것,41,10.56,0.82,0.08,1
귤_궁천조생+노지_생것,39,10.16,0.29,0.16,1
귤_궁천조생+하우스_생것,42,10.78,0.69,0.09,2
귤_유라조생+하우스_생것,39,10.17,0.55,0.08,2
방울다다기양배추_찐것,44,8.74,4.02,0.35,13
배추_알배기_생것,15,2.99,1.46,0.09,7
배추_알배기_삶은것,17,3.27,1.64,0.13,10
배추_알배기_찐것,18,3.69,1.76,0.11,8
양파_찐것,31,6.97,1.08,0.18,1
양파_자색양파_데친것,27,6.23,0.88,0.1,2
배추우거지_생것,18,3.71,1.35,0.14,9
배추우거지_삶은것,18,3.66,1.26,0.21,5
상추_완전결구상추(양상추)_청상추_찐것,15,3.51,0.87,0.09,4
양배추_삶은것,19,4.52,0.8,0.1,7
양배추_적양배추_삶은것,26,5.51,2.21,0.16,6
양배추_적양배추_찐것,32,6.8,2.34,0.19,6
취나물_미역취_삶아서 말린것,271,55.54,15.22,4.21,276
귤 주스_천연과즙,39,10.4,0.2,0.1,13
금귤_생것,73,18.77,1.19,0.13,5
다래_생것,67,16.2,1.6,0.4,2
대추_생것,105,27.56,1.45,0.1,1
대추_말린것,276,72.57,3.73,0.25,2
대추야자_말린것,281,71.3,2.2,0.2,
두리안_생것,140,27.1,2.3,3.3,
딸기_개량종_생것,33,8.15,0.75,0.14,1
딸기_개량종_말린것,306,75.48,6.97,1.29,14
딸기_설향_생것,34,8.33,0.74,0.14,1
라임_생것,30,10.54,0.7,0.2,2
라임 주스_천연과즙,25,8.42,0.42,0.07,2
꽃송이버섯_생것,19,7.35,1.11,0.39,1
꽃송이버섯_말린것,182,66.49,15.18,4.14,12
꽃송이버섯_데친것,22,8.99,0.87,0.49,1
꽃송이버섯_말린것(자연건조),173,61.65,19.59,2.34,3
양송이버섯_말린것,180,53.02,31.34,2.59,68
감_단감_생것,57,15.13,0.38,0.12,1
감_대봉(갑주백목)_생것,68,18.19,0.56,0.05,1
감_연시_생것,69,18.41,0.54,0.08,1
감_연시_얼린것,66,18.36,0,0.04,0
감말랭이_말린것,236,63.57,1.83,0.12,2
리치_얼린것,56,14.47,0.85,0.08,2
망고_생것,61,15.97,0.72,0.1,0
망고_애플망고_생것,57,12.56,0.54,1.14,0
매실_생것,41,7.8,1.1,1.1,3
매실_선암매_생것,39,8,1.2,0.7,1
매실_천매_생것,37,8.1,0.7,0.6,2
매실_남고_생것,26,6.24,0.94,0.77,2
매실 절임_당류에 절인것,216,51.08,1.86,0.52,1
매실 절임_소금에 절인것,29,8.6,0.9,0.7,7200
머루_껍질+씨포함_생것,79,18.32,1.51,0.94,0
머루_개량종_껍질+씨포함_생것,83,17.27,1.6,1.83,1
머루_머스켓베일리에이_생것,76,18.96,0.34,0.75,0
머루_왕머루_껍질+씨포함_생것,87,19.67,1.58,1.27,0
멜론_감로_생것,21,5.1,0.5,0.1,13
멜론_머스크_생것,40,9.64,1.5,0.04,13
귤_일남1호_생것,33,8.48,0.49,0.08,1
귤_하례조생+노지_생것,37,9.74,0.4,0.08,1
귤_하례조생+하우스_생것,44,11.18,0.71,0.14,3
귤_흥진조생_생것,40,10.41,0.48,0.14,2
귤_레드향_생것,48,12.39,0.59,0.12,1
귤_황금향_생것,40,10.3,0.4,0.13,1
귤_신예감_생것,34,8.2,0.29,0.41,1
꼬막류_피조개_육_생것_진해_3월,84,11.85,4.12,1.93,
꼬막류_피조개_육_찐것_여수_평균,164,8.66,22.48,3.59,
꼬막류_피조개_육_통조림_대표_평균,128,7.80,18.00,1.30,
꼬막류_피조개_전체_생것_대표_평균,81,77.70,1.43,1.83,
꼬막류_피조개_전체_생것_부산_6월,97,5.20,12.02,2.66,
꼬막류_피조개_전체_생것_여수_평균,91,5.20,12.50,1.75,161
꼬시래기류_꼬시래기_줄기_생것_대표_평균,17,6.20,1.80,0.20,
꼬치고기_육_구운것_남해_평균,152,0.00,30.31,2.54,111
꼬치고기_육_생것_부산_5월,97,0.65,20.45,0.80,
꼬치고기_육_생것_여수_4월,102,0.00,20.55,1.61,77
꼴뚜기류_꼴뚜기_육_젓갈_대표_평균,92,0.30,16.00,2.00,1436
꼴뚜기류_반원니꼴뚜기_전체_생것_대표_4월,92,0.84,16.63,1.91,200
꼴뚜기류_불똥꼴뚜기_육_삶은것_대표_평균,101,0.40,17.70,2.90,240
꼴뚜기류_불똥꼴뚜기_육_생것_대표_평균,101,0.60,14.40,3.00,170
꼴뚜기류_불똥꼴뚜기_육_조린것_대표_평균,272,22.90,27.00,6.70,1200
꼴뚜기류_불똥꼴뚜기_육_조미훈제_대표_평균,339,21.30,43.10,7.50,1500
꼴뚜기류_참꼴뚜기_육_삶아서 말린것_대표_평균,286,1.70,51.30,6.60,
꼴뚜기류_참꼴뚜기_육_생것_부산_2월,78,1.00,13.60,1.80,
레몬_생것,36,9.27,0.71,0.08,2
롱안_생것,60,15.14,1.31,0.1,0
롱안_말린것,286,74,4.9,0.4,48
리치_생것,61,16.4,1,0.1,
소귀나무 열매_생것,24,4.6,0.8,0.6,23
수박_적육질_생것,31,7.83,0.79,0.05,0
멜론_화이트_생것,38,9.6,0.7,0.1,10
모과_생것,78,20,0.7,0.4,2
무화과_승정도후인_생것,52,13.47,0.74,0.09,0
무화과_승정도후인_말린것,254,63.6,5.1,0.9,9
무화과_봉래시_생것,45,11.51,0.82,0.11,0
무화과_수입산_말린것,319,77.22,4.75,3.01,14
바나나_생것,77,20,1.11,0.2,0
바나나_말린것,314,78.5,3.8,0.4,1
배_생것,45,12.24,0.29,0.04,0
배_돌배_생것,45,11.61,0.3,0.22,0
배_신고_생것,46,12.4,0.3,0.04,0
배_만풍_생것,44,11.98,0.26,0.04,0
배_원황_생것,46,12.34,0.29,0.04,0
배 과즙,52,13,0.3,0.5,35
버찌_생것,60,14.9,1.7,0.1,1
복분자_생것,88,17.96,1.52,2.2,4
복숭아_백도_생것,49,13.1,0.59,0.04,0
복숭아_천도_생것,39,9.44,0.79,0.24,2
복숭아_황도_생것,49,13.03,0.4,0.04,2
꼬막류_피조개_육_생것_부산_5월,66,2.70,11.60,0.60,
용과_백육종_생것,44,10.3,1,0.4,1
용과_적육종_생것,45,11.2,0.9,0.2,2
용과_황색종_생것,54,13.9,1,0.1,1
유자_전체_생것,49,12.54,0.93,0.09,3
유자_껍질_생것,55,14.21,1.02,0.09,3
복숭아_천중도_생것,49,11.18,0.74,0.79,0
블랙베리_생것,43,8.69,0.67,1.13,0
블루베리_생것,48,12.57,0.55,0.09,0
블루베리_말린것,325,83.57,4.45,1.11,3
블루베리_얼린것,41,10.07,0.81,0.26,6
비파_생것,45,11.95,0.29,0.2,0
사과_생것,57,14.11,0.2,0.66,0
사과_부사_생것,56,13.58,0.2,0.77,0
사과_아오리_껍질제거_생것,52,14.16,0.27,0.04,0
사과_아오리_껍질 포함_생것,49,13.36,0.3,0.03,0
사과_홍옥_생것,58,14.65,0.21,0.55,0
산딸기_생것,55,13.55,1.35,0.22,0
산수유_열매_생것,112,23.83,0.87,2.82,3
산수유_과육_말린것,292,76.6,3.6,0.5,7
살구_생것,30,7.12,1.2,0.05,1
살구_말린것,258,68.39,3.21,0.18,2
석류_생것,77,20.71,0.29,0.2,1
키위_그린_생것,66,16.08,0.93,0.63,2
탱자_생것,84,18.5,1.3,1.5,2
파인애플_생것,53,14.05,0.48,0.06,0
파파야_완숙_생것,40,10.24,0.7,0.08,9
파파야_미숙_생것,23,5.95,0.45,0.05,5
백향과(패션프루트)_생것,100,22.58,1.68,1.55,1
백향과(패션프루트) 주스_천연과즙,67,16.2,0.8,0.4,5
수박_황육질_생것,36,9.26,0.65,0.05,1
산자나무 열매(씨벅톤)_생것,70,9.7,1,3.8,20
아떼모야_생것,73,19,1.2,0.1,2
아보카도_생것,160,8.53,2,14.66,7
아세로라_감미종_생것,36,9,0.7,0.1,7
앵두_생것,61,15.2,1.1,0.3,10
엘더베리_생것,73,18.4,0.66,0.5,6
오디_생것,56,14,0.8,0.4,1
오디_재래종_생것,54,12,2.6,0.3,16
오렌지_생것,47,11.81,0.92,0.16,2
오렌지_발렌시아_생것,49,11.89,1.04,0.3,0
오미자_생것,81,12.8,2.1,3.3,1
오미자_말린것,362,61.3,8.5,13.5,4
올리브 피클_숙과,121,3.4,0.8,12.3,640
올리브 피클_초록색,137,5.34,1.09,12.36,1625
포도_캠벨얼리_껍질+씨포함_생것,58,15.01,0.71,0.13,1
포도_캠벨얼리_껍질 포함_생것,51,13.59,0.61,0.05,1
포도_청포도(힘로드시드레스)_생것,47,12.63,0.41,0.03,0
포도_청포도(힘로드시드레스)_껍질 포함_생것,45,12.1,0.42,0.03,1
포도_청포도(샤인머스켓)_껍질 포함_생것,66,17.66,0.38,0.1,1
포도_나르샤_껍질 포함_생것,58,15.18,0.55,0.22,1
포도_두누리_생것,57,14.82,0.44,0.25,0
포도_레드글로브_껍질 포함_생것,57,14.91,0.4,0.24,6
포도_새마루_생것,54,14.28,0.46,0.15,1
포도_수옥_생것,69,18.5,0.2,0.18,1
유자_과육_생것,40,10.28,0.87,0.06,2
으름_생것,158,11.9,2,12.9,
자두_생것,26,5.3,0.5,0.6,1
자두_말린것,240,63.88,2.18,0.38,2
자두_ 대석_ 생것,32,8.4,0.6,,11
